run;signature_len;k;threshold;bands;kandidater;s
1;256;10;0.8;32;0;0.65
2;256;10;0.7;32;"misc.forsale\76879
misc.forsale\76880";0.65
3;256;10;0.6;32;1;0.65
4;256;8;0.8;16;0;0.8
5;256;8;0.7;32;1;0.65
6;256;8;0.6;32;1;0.65
7;256;6;0.8;16;0;0.8
8;256;6;0.7;32;1;0.65
9;256;6;0.6;32;1;0.65
10;128;10;0.8;8;0;0.88
11;128;10;0.7;16;1;0.7
12;128;10;0.6;16;1;0.7
13;128;8;0.8;8;0;0.88
14;128;8;0.7;16;1;0.7
15;128;8;0.6;16;1;0.7
16;128;6;0.8;8;0;0.88
17;128;6;0.7;16;1;0.7
18;128;6;0.6;16;1;0.7
19;64;10;0.8;8;0;0.77
20;64;10;0.7;8;0;0.77
21;64;10;0.6;16;1;0.5
22;64;8;0.8;8;0;0.77
23;64;8;0.7;8;0;0.77
24;64;8;0.6;16;1;0.5
25;64;6;0.8;8;0;0.77
26;64;6;0.7;8;0;0.77
27;64;6;0.6;16;1;0.5
